,HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Gender Inequality Index,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,1990,2000,2010,2012,2014,2015,2016,2017
0,1,Norway,0.9525220196758183,82.328,17.85206,12.56682,68012.49292,5,0.04813878837498753,5,5.592,41.42011834,0.8500548524793253,0.9166616639349402,0.9415784225169305,0.9421829920256662,0.9456420727119171,0.948002419466177,0.9512483553214962,0.9525220196758183
1,2,Switzerland,0.9439975702781175,83.473,16.20882,13.408,57625.06971,8,0.03931968754762993,5,2.989,29.26829268,0.8319458891095548,0.8890012394598527,0.9319859222691773,0.9351917150733491,0.9393897441530009,0.9418863934154347,0.9431886822134562,0.9439975702781175
2,3,Australia,0.9386312851065749,83.068,22.92125,12.85504,43560.05774,18,0.10909091878171273,6,12.902,32.74336283,0.8662704366059125,0.898234266622585,0.9230299012797398,0.928781905337829,0.9332256160959826,0.9356331583849764,0.9378680440732646,0.9386312851065749
3,4,Ireland,0.938410058995056,81.643,19.61374,12.52629,53754.18626,8,0.10938194976453164,8,9.662,24.31192661,0.7634081073495951,0.8566464184283334,0.9094643974766692,0.9017839939519823,0.9211183405591135,0.9292174032909376,0.9344754829182338,0.938410058995056
4,5,Germany,0.9360434201549551,81.178,16.95598,14.08202,46135.84754,13,0.07205748269913437,6,6.535,31.49100257,0.8010500457558284,0.868405684160781,0.9207180903908809,0.9277353613838799,0.9300149792837,0.9326735965013806,0.9341518707655013,0.9360434201549551
5,6,Iceland,0.9348792517618248,82.912,19.34788,12.36378,45810.19585,13,0.06188111385945172,3,6.805,38.0952381,0.8015452695055686,0.8600644983774717,0.8914765295284396,0.9086434833325195,0.9245758347644027,0.9273911466272216,0.9331301121272382,0.9348792517618248
6,7,"Hong Kong, China (SAR)",0.9325829144337008,84.097,16.32567,12.03813,58419.70992,2,..,..,2.705,..,0.7806602381638797,0.8267937401247614,0.90126319366721,0.9111401020534745,0.9232739248197119,0.9268403970380034,0.9296395120413741,0.9325829144337008
7,7,Sweden,0.9328045492693906,82.625,17.63459695,12.42605,47765.65603,9,0.043577719204169196,4,5.239,43.5530086,0.8158675227952622,0.8972671772833654,0.9054079775892695,0.9075314302323302,0.9200000947000598,0.9290210042558709,0.9315839061660123,0.9328045492693906
8,9,Singapore,0.9320416064322072,83.218,16.2,11.47467,82503.12701,-6,0.06693618283122771,10,3.678,23,0.7179843072768646,0.8191050278287649,0.9090845177462514,0.9200317269898712,0.9275605099573008,0.9291888572886682,0.930104591364359,0.9320416064322072
9,10,Netherlands,0.9306385925456497,82.005,18.04483,12.19001,47899.76157,5,0.043647526527695324,7,3.993,35.55555556,0.8292337411542214,0.8755578753401152,0.9102188662785397,0.9210277108552317,0.9244776236966815,0.9263547954141539,0.9280839714514447,0.9306385925456497
10,11,Denmark,0.9294741111101222,80.878,19.06606,12.58779,47918.49167,3,0.039864737695134767,6,4.123,37.4301676,0.79920409011842,0.8629650920417434,0.9100647644615796,0.9239762556260381,0.9282316633052561,0.9263878170783845,0.9280172267430499,0.9294741111101222
11,12,Canada,0.9259523985007169,82.541,16.43739864,13.28189,43433.16672,10,0.09214445456017084,7,9.402,30.11494253,0.8493743627610181,0.8674243927412196,0.9016010593488112,0.9075526111019709,0.9178154178411568,0.9200534689735574,0.9222756302756803,0.9259523985007169
12,13,United States,0.9239135887246156,79.541,16.46821,13.37999,54941.10929,-2,0.18924281593167824,14,18.789,19.66292135,0.8599738947450559,0.8845873068286447,0.9137215958384622,0.9178415038337774,0.9176990482300944,0.9202302391013459,0.9223928743957234,0.9239135887246156
13,14,United Kingdom,0.9215489223394087,81.717,17.4429,12.88865,39116.31163,13,0.11622617764561405,9,12.498,28.52233677,0.7751793139337488,0.866995535687688,0.9053420110210383,0.8975908113967865,0.9189750939405213,0.9176052880466863,0.9202139670337001,0.9215489223394087
14,15,Finland,0.9196527754554454,81.496,17.6396565,12.43961,41002.27094,10,0.057870968106804144,3,6.769,42,0.7841324738647947,0.8575275237357242,0.9034653206570117,0.90796271383829,0.9142740047081425,0.9154066419738134,0.9176124305396001,0.9196527754554454
15,16,New Zealand,0.9166876294543607,82.038,18.86506,12.503,33969.73999,18,0.1357483695703282,11,20.022,38.33333333,0.8175939824320112,0.8686771920577201,0.8992112210884805,0.9048806789761905,0.909531029827902,0.9137620056708454,0.9154822900814985,0.9166876294543607
16,17,Belgium,0.9160660368445823,81.303,19.7624,11.78389,42156.37247,6,0.047536186377894696,7,4.878,41.42857143,0.80648643746543,0.8731206687707077,0.902774182627763,0.9052523928868946,0.909417515107281,0.9127839260501227,0.9145380307545622,0.9160660368445823
17,17,Liechtenstein,0.9160828679923403,80.41,14.72093,12.54846,97335.74963,-15,..,..,..,12,..,0.8622653534148383,0.9041955896747285,0.9126773264896066,0.9108818510147857,0.9122874683984628,0.9154303330535014,0.9160828679923403
18,19,Japan,0.9091529566477987,83.908,15.23277,12.75,38986.15453,9,0.10344990628462236,5,4.078,13.71994342,0.8157702157791007,0.8553707459579455,0.8848038215821445,0.8945751646395893,0.9031353072311679,0.9048138834738697,0.9069283257286355,0.9091529566477987
19,20,Austria,0.9077551793931995,81.77,16.0812,12.1487132,45415.10118,0,0.07136588430170931,4,6.894,33.60655738,0.7949870540375634,0.838292152968934,0.8948894470398044,0.8987188037322403,0.9014704133105146,0.9028734507835705,0.9058221188119048,0.9077551793931995
20,21,Luxembourg,0.9039388608901129,81.955,14.01601,12.08015,65016.32689,-13,0.06591451915063318,10,5.197,28.33333333,0.7824815066421936,0.8551429864771878,0.8891930534760273,0.8921359070122388,0.8950410944294765,0.8991706640240128,0.9034904711109238,0.9039388608901129
21,22,Israel,0.903244841425405,82.664,15.91014,12.95922,32711.3766,13,0.09778806345455537,5,9.216,27.5,0.7919821336298516,0.8530717445328958,0.8867572186122512,0.892915206013268,0.8991877136952995,0.900875980422802,0.9017548697653387,0.903244841425405
22,22,Korea (Republic of),0.9025611264099034,82.361,16.49749,12.11633,35944.70949,8,0.06308091372081992,11,1.643,17,0.727843284152595,0.8173563090669429,0.884018971376198,0.8900939669468014,0.8957617240012508,0.8980173707734285,0.9003574927047293,0.9025611264099034
23,24,France,0.9008024399187519,82.716,16.41595,11.51082,39253.94701,2,0.08285738733386916,8,8.643,35.35135135,0.7792864125927482,0.8488337032942557,0.8815498327605845,0.8863620890113129,0.8944264280822533,0.8979901430645024,0.8992756919459307,0.9008024399187519
24,25,Slovenia,0.8962238285589089,81.116,17.21387,12.22188,30593.9569,12,0.054085583169731666,9,4.176,28.68217054,0.7668527684138117,0.8245295989751158,0.8819466419602034,0.8772381959013132,0.8867582218851555,0.8885549912216858,0.8935430504652823,0.8962238285589089
25,26,Spain,0.8910202164410346,83.301,17.87704,9.81948,34258.29329,7,0.08008699341283865,5,8.598,38.63636364,0.7541935901699929,0.8249799275932899,0.8648856678733804,0.8728855698871217,0.8797991075219412,0.8847176790172303,0.8888670933931713,0.8910202164410346
26,27,Czechia,0.8875614288899835,78.877,16.85478,12.74035,30588.30081,11,0.124060333580021,4,9.995,21.07142857,0.7304126060838647,0.7960346525737819,0.8617961653291967,0.8652226235043151,0.8789289079281665,0.8818297699362259,0.8847752951250055,0.8875614288899835
27,28,Italy,0.8797694451419255,83.169,16.27219,10.1604,35299.24086,3,0.08672979731087549,4,6.1,30.10526316,0.7687394612546758,0.8296123913442686,0.8704401371450081,0.874042303354458,0.8743993121468568,0.8763888252808213,0.8781295258489776,0.8797694451419255
28,29,Malta,0.878186794658016,81.012,15.89665,11.28811,34395.64694,3,0.215615940915313,9,16.624,11.94029851,0.7401900417439693,0.7825553933651199,0.842521270077155,0.8492869966090202,0.8623661967458398,0.8714829726285663,0.8753871392370755,0.878186794658016
29,30,Estonia,0.8710420389460728,77.709,16.08842,12.66743,28993.24772,10,0.12151588931775859,9,12.625,26.73267327,0.7326571869713059,0.7803387648948726,0.8445825915219507,0.8585946378637779,0.8636668835805229,0.8655202333123095,0.8675975481869183,0.8710420389460728
30,31,Greece,0.8699340670405696,81.41,17.25405,10.75089,24648.09694,20,0.11976580489935162,3,7.223,18.33333333,0.7530282789358519,0.7962739979658515,0.8557243364841247,0.8542496199029833,0.8638454199337754,0.8656523016276201,0.8682721803704931,0.8699340670405696
31,32,Cyprus,0.8687843853986973,80.67,14.57015,12.10394,31567.6881,4,0.08538350746950363,7,4.582,17.85714286,0.7322057295974786,0.8017207173376216,0.8499239470811846,0.8522012431643199,0.856087014876622,0.8601494028875531,0.8670238119155721,0.8687843853986973
32,33,Poland,0.8650750409424125,77.77,16.4332,12.29398,26150.40263,12,0.13213245348579916,3,12.706,25.53571429,0.7121314924865068,0.7850348886736052,0.8351636140915617,0.836000715224465,0.8420180858800741,0.8554072351132205,0.8604198352360831,0.8650750409424125
33,34,United Arab Emirates,0.8627566603965141,77.412,13.64343,10.78,67804.55851,-27,0.23213910974250485,6,28.379,22.5,0.7265916372566673,0.7980354284160383,0.8359762153936098,0.8455089491640237,0.8554118894918689,0.8600626462655816,0.8621799163987712,0.8627566603965141
34,35,Andorra,0.8576835942558982,81.663,13.52401627,10.15545,47573.87008,-18,..,..,..,32.14285714,..,0.7586447108266346,0.827924780025875,0.8485360173248786,0.8531845912712563,0.8544277852558375,0.8558054251149887,0.8576835942558982
35,35,Lithuania,0.8581351445244575,74.768,16.10477,12.96103,28313.59678,7,0.12333130731804165,10,10.683,21.27659574,0.7315688001869364,0.755880111637226,0.8239971807077867,0.8311116399781965,0.85138208665025,0.8522353814657857,0.8548201014312401,0.8581351445244575
36,37,Qatar,0.855616448244128,78.331,13.36037,9.80616,116817.9779,-36,0.20581610712789555,13,9.922,9.756097561,0.7540482894278834,0.8098448390651469,0.8251101810264089,0.8436919279503663,0.8534449230863104,0.8541716272819024,0.8548970970597372,0.855616448244128
37,38,Slovakia,0.8552002367226402,76.977,14.96488,12.45251025,29467.32283,1,0.17951578552191705,6,22.027,20,0.7388735923724354,0.7635401674501551,0.8291222034185267,0.8416027453076956,0.8448782993641278,0.8510482900464496,0.8529800895385142,0.8552002367226402
38,39,Brunei Darussalam,0.8532669717706831,77.374,14.46502,9.06,76427.21032,-35,0.23564532844106123,23,10.272,9.090909091,0.7821358537125406,0.8192552836064121,0.8422781661238496,0.852343514059006,0.8534877789547273,0.8519701532766843,0.8524184233561918,0.8532669717706831
39,39,Saudi Arabia,0.8532986382122836,74.72,16.92895,9.50218,49680.22069,-26,0.23406153962211484,12,7.765,19.86754967,0.6972121278814952,0.7431564210789809,0.8080534338925084,0.834746353242833,0.8517701645357145,0.8536130114524547,0.8539633803400953,0.8532986382122836
