,HDI Rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,Gender Inequality Index,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament
0,1,Norway,0.9525220196758183,82.328,17.85206,12.56682,68012.49292,5,1,0.04813878837498753,5,5.592,41.42011834
1,2,Switzerland,0.9439975702781175,83.473,16.20882,13.408,57625.06971,8,2,0.03931968754762993,5,2.989,29.26829268
2,3,Australia,0.9386312851065749,83.068,22.92125,12.85504,43560.05774,18,3,0.10909091878171273,6,12.902,32.74336283
3,4,Ireland,0.938410058995056,81.643,19.61374,12.52629,53754.18626,8,4,0.10938194976453164,8,9.662,24.31192661
4,6,Iceland,0.9348792517618248,82.912,19.34788,12.36378,45810.19585,13,6,0.06188111385945172,3,6.805,38.0952381
5,7,Sweden,0.9328045492693906,82.625,17.63459695,12.42605,47765.65603,9,7,0.043577719204169196,4,5.239,43.5530086
6,10,Netherlands,0.9306385925456497,82.005,18.04483,12.19001,47899.76157,5,10,0.043647526527695324,7,3.993,35.55555556
7,12,Canada,0.9259523985007169,82.541,16.43739864,13.28189,43433.16672,10,12,0.09214445456017084,7,9.402,30.11494253
8,14,United Kingdom,0.9215489223394087,81.717,17.4429,12.88865,39116.31163,13,14,0.11622617764561405,9,12.498,28.52233677
9,15,Finland,0.9196527754554454,81.496,17.6396565,12.43961,41002.27094,10,15,0.057870968106804144,3,6.769,42
10,16,New Zealand,0.9166876294543607,82.038,18.86506,12.503,33969.73999,18,16,0.1357483695703282,11,20.022,38.33333333
11,19,Japan,0.9091529566477987,83.908,15.23277,12.75,38986.15453,9,19,0.10344990628462236,5,4.078,13.71994342
12,20,Austria,0.9077551793931995,81.77,16.0812,12.1487132,45415.10118,0,20,0.07136588430170931,4,6.894,33.60655738
13,22,Korea (Republic of),0.9025611264099034,82.361,16.49749,12.11633,35944.70949,8,22,0.06308091372081992,11,1.643,17
14,27,Czechia,0.8875614288899835,78.877,16.85478,12.74035,30588.30081,11,27,0.124060333580021,4,9.995,21.07142857
15,28,Italy,0.8797694451419255,83.169,16.27219,10.1604,35299.24086,3,28,0.08672979731087549,4,6.1,30.10526316
16,29,Malta,0.878186794658016,81.012,15.89665,11.28811,34395.64694,3,29,0.215615940915313,9,16.624,11.94029851
17,30,Estonia,0.8710420389460728,77.709,16.08842,12.66743,28993.24772,10,30,0.12151588931775859,9,12.625,26.73267327
18,32,Cyprus,0.8687843853986973,80.67,14.57015,12.10394,31567.6881,4,32,0.08538350746950363,7,4.582,17.85714286
19,35,Andorra,0.8576835942558982,81.663,13.52401627,10.15545,47573.87008,-18,35,..,..,..,32.14285714
20,44,Chile,0.8428587807678302,79.732,16.40065,10.34355,21909.50098,13,44,0.3193048758709738,22,45.636,15.82278481
21,45,Hungary,0.837844633948344,76.063,15.08309,11.88941,25392.97167,3,45,0.25859075402544984,17,19.678,10.05025126
22,46,Croatia,0.8311022788421122,77.807,14.96245,11.26731,22162.33726,10,46,0.12381550402264518,8,8.925,18.54304636
23,47,Argentina,0.8248496500084135,76.738,17.42404,9.94943,18460.73665,19,47,0.3578723882620698,52,62.79,38.90577508
24,49,Russian Federation,0.8162754867030123,71.222,15.53573,12.01999,24232.5558,3,49,0.25745810745039466,25,21.553,16.12903226
25,50,Montenegro,0.8136923018899812,77.271,14.90172,11.28716,16778.70192,19,50,0.13234398851407936,7,11.797,23.45679012
26,52,Romania,0.8111917502126795,75.574,14.26534,10.97836,22645.53847,2,52,0.3105022854288165,31,33.063,18.70967742
27,57,Malaysia,0.8018076952157448,75.452,13.67563,10.16824,26107.27002,-11,57,0.28696188900808306,40,13.414,13.10344828
28,62,Seychelles,0.7965286581734321,73.746,14.78051,9.5,26076.89647,-15,62,..,..,56.922,21.21212121
29,63,Costa Rica,0.7938646316833218,80.03,15.37714,8.76355,14636.38192,15,63,0.2995608833707779,25,53.459,35.0877193
30,66,Panama,0.789320299890748,78.195,12.69992,10.17,19178.20841,-4,66,0.4611500093488954,94,81.828,18.30985915
31,70,Antigua and Barbuda,0.7795359101867395,76.519,13.24948772,9.23618,20763.64427,-12,70,..,..,43.513,20
32,72,Saint Kitts and Nevis,0.7778445852359723,74.372,14.38947,8.4,23977.62596,-19,72,..,..,..,13.33333333
33,74,Mexico,0.774034620773871,77.305,14.10417,8.60085,16944.09546,-6,74,0.3429579181206638,38,60.264,41.40127389
34,75,Grenada,0.7719484991815749,73.78,16.86987,8.67566,12863.74575,12,75,..,27,29.177,25
35,76,Sri Lanka,0.7700102474771624,75.485,13.85228,10.915,11325.62717,19,76,0.3535469401993606,30,14.088,5.777777778
36,77,Bosnia and Herzegovina,0.7684508308491914,77.087,14.218443,9.69292,11716.0207,16,77,0.1659461961014852,11,10.019,19.29824561
37,79,Brazil,0.7592453699836664,75.723,15.39793,7.76,13755.33693,2,79,0.40674940876320853,44,61.597,11.27946128
38,80,Azerbaijan,0.7569654274080131,72.123,12.65043,10.73051,15599.61753,-7,80,0.3175675664350043,25,53.524,16.8
39,86,China,0.7517039468311737,76.41,13.7792,7.848,15269.76124,-9,86,0.1523582661969155,27,6.408,24.24760602
40,92,Mongolia,0.7408163154472713,69.465,15.45647,10.10858,10103.05023,11,92,0.30099105424368455,44,23.632,17.10526316
41,98,Tonga,0.725644707457446,73.179,14.3,11.18,5547.173004,37,98,0.41616478703707194,124,14.662,7.692307692
