,HDI Rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
5,1,Norway,0.9525220196758183,82.328,17.85206,12.56682,68012.49292,5,1
6,2,Switzerland,0.9439975702781175,83.473,16.20882,13.408,57625.06971,8,2
7,3,Australia,0.9386312851065749,83.068,22.92125,12.85504,43560.05774,18,3
8,4,Ireland,0.938410058995056,81.643,19.61374,12.52629,53754.18626,8,4
9,5,Germany,0.9360434201549551,81.178,16.95598,14.08202,46135.84754,13,4
10,6,Iceland,0.9348792517618248,82.912,19.34788,12.36378,45810.19585,13,6
11,7,"Hong Kong, China (SAR)",0.9325829144337008,84.097,16.32567,12.03813,58419.70992,2,8
12,7,Sweden,0.9328045492693906,82.625,17.63459695,12.42605,47765.65603,9,7
13,9,Singapore,0.9320416064322072,83.218,16.2,11.47467,82503.12701,-6,8
14,10,Netherlands,0.9306385925456497,82.005,18.04483,12.19001,47899.76157,5,10
15,11,Denmark,0.9294741111101222,80.878,19.06606,12.58779,47918.49167,3,10
16,12,Canada,0.9259523985007169,82.541,16.43739864,13.28189,43433.16672,10,12
17,13,United States,0.9239135887246156,79.541,16.46821,13.37999,54941.10929,-2,12
18,14,United Kingdom,0.9215489223394087,81.717,17.4429,12.88865,39116.31163,13,14
19,15,Finland,0.9196527754554454,81.496,17.6396565,12.43961,41002.27094,10,15
20,16,New Zealand,0.9166876294543607,82.038,18.86506,12.503,33969.73999,18,16
21,17,Belgium,0.9160660368445823,81.303,19.7624,11.78389,42156.37247,6,16
22,17,Liechtenstein,0.9160828679923403,80.41,14.72093,12.54846,97335.74963,-15,16
23,19,Japan,0.9091529566477987,83.908,15.23277,12.75,38986.15453,9,19
24,20,Austria,0.9077551793931995,81.77,16.0812,12.1487132,45415.10118,0,20
25,21,Luxembourg,0.9039388608901129,81.955,14.01601,12.08015,65016.32689,-13,26
26,22,Israel,0.903244841425405,82.664,15.91014,12.95922,32711.3766,13,21
27,22,Korea (Republic of),0.9025611264099034,82.361,16.49749,12.11633,35944.70949,8,22
28,24,France,0.9008024399187519,82.716,16.41595,11.51082,39253.94701,2,23
29,25,Slovenia,0.8962238285589089,81.116,17.21387,12.22188,30593.9569,12,24
30,26,Spain,0.8910202164410346,83.301,17.87704,9.81948,34258.29329,7,25
31,27,Czechia,0.8875614288899835,78.877,16.85478,12.74035,30588.30081,11,27
32,28,Italy,0.8797694451419255,83.169,16.27219,10.1604,35299.24086,3,28
33,29,Malta,0.878186794658016,81.012,15.89665,11.28811,34395.64694,3,29
